name,area
Liisanpuistikko,Eteläinen suurpiiri
Paavalinpuisto,Keskinen suurpiiri
Oravannahkatori,Suur-Tapiola
Herttoniemi (M),Kaakkoinen suurpiiri
Koivu-Mankkaa,Suur-Tapiola
A.I. Virtasen aukio,Keskinen suurpiiri
Munkkivuoren ostoskeskus,Läntinen suurpiiri
Esterinportti,Keskinen suurpiiri
Karhupuisto,Keskinen suurpiiri
Ritarikatu,Eteläinen suurpiiri
Puistokaari,Eteläinen suurpiiri
Niittymaa,Suur-Matinkylä
Arabian kauppakeskus,Keskinen suurpiiri
Petter Wetterin tie,Kaakkoinen suurpiiri
Ahertajantie,Suur-Tapiola
Mastokatu,Eteläinen suurpiiri
Länsisatamankuja,Eteläinen suurpiiri
Ruskeasuon varikko,Läntinen suurpiiri
Maistraatintori,Keskinen suurpiiri
Muusantori,Läntinen suurpiiri
Messeniuksenkatu,Läntinen suurpiiri
Jäähalli,Läntinen suurpiiri
Kapteeninpuistikko,Eteläinen suurpiiri
Varsapuistikko,Eteläinen suurpiiri
Korjaamo,Läntinen suurpiiri
Postipuisto,Pohjoinen suurpiiri
Pohjois-Haagan asema,Läntinen suurpiiri
Kuunkatu,Suur-Matinkylä
Puotilantie,Itäinen suurpiiri
Munkkiniemen aukio,Läntinen suurpiiri
Marian sairaala,Eteläinen suurpiiri
Pernajantie,Keskinen suurpiiri
Brahen kenttä,Keskinen suurpiiri
Hakalehto,Suur-Tapiola
Designmuseo,Eteläinen suurpiiri
Pasilan asema,Keskinen suurpiiri
Kulttuuriaukio,Suur-Tapiola
Stenbäckinkatu,Läntinen suurpiiri
Puotila (M),Itäinen suurpiiri
Ympyrätalo,Keskinen suurpiiri
Tunnelitie,Läntinen suurpiiri
Jätkäsaarenlaituri,Eteläinen suurpiiri
Kalkkipellonmäki,Suur-Leppävaara
Tekniikantie,Suur-Tapiola
Keilaranta,Suur-Tapiola
Kasarmitori,Eteläinen suurpiiri
Kulosaari (M),Kaakkoinen suurpiiri
Niittykumpu (M),Suur-Matinkylä
Viikin tiedepuisto,Koillinen suurpiiri
Nelikkotie,Suur-Matinkylä
Arabiankatu,Keskinen suurpiiri
Keilalahti,Suur-Tapiola
Diakoniapuisto,Keskinen suurpiiri
Jämeräntaival,Suur-Tapiola
Meilahden sairaala,Läntinen suurpiiri
Sepänkatu,Eteläinen suurpiiri
Jalavatie,Läntinen suurpiiri
Auringonkatu,Suur-Matinkylä
Laajalahden aukio,Läntinen suurpiiri
Linnanmäki,Keskinen suurpiiri
Sateentie,Suur-Tapiola
Kuikkarinne,Eteläinen suurpiiri
Itämerentori,Eteläinen suurpiiri
Haukilahdenranta,Suur-Tapiola
Pajamäki,Läntinen suurpiiri
Töölöntulli,Läntinen suurpiiri
Perämiehenkatu,Eteläinen suurpiiri
Hakaniemi (M),Keskinen suurpiiri
Hollolantie,Keskinen suurpiiri
Itäkeskus (M),Itäinen suurpiiri
Agronominkatu,Koillinen suurpiiri
Haapaniemenkatu,Keskinen suurpiiri
Sörnäinen (M),Keskinen suurpiiri
Myllypuro (M),Itäinen suurpiiri
Vanha kirkkopuisto,Eteläinen suurpiiri
Hietalahdentori,Eteläinen suurpiiri
Pohjolanaukio,Keskinen suurpiiri
Komeetankatu,Suur-Matinkylä
Kesäkatu,Eteläinen suurpiiri
Töölöntori,Eteläinen suurpiiri
Rajasaarentie,Läntinen suurpiiri
Vallikatu,Suur-Leppävaara
Merisotilaantori,Eteläinen suurpiiri
Jännetie,Läntinen suurpiiri
Lastenlehto,Eteläinen suurpiiri
Opastinsilta,Keskinen suurpiiri
Torpanranta,Läntinen suurpiiri
Gunillantie,Kaakkoinen suurpiiri
Arielinkatu,Suur-Tapiola
Teurastamo,Keskinen suurpiiri
Länsituuli,Suur-Tapiola
Gyldenintie,Eteläinen suurpiiri
Kauppakorkeakoulu,Suur-Tapiola
Matinkartanontie,Suur-Matinkylä
Hertanmäenkatu,Keskinen suurpiiri
Vanha Kauppahalli,Eteläinen suurpiiri
Juhana Herttuan tie,Keskinen suurpiiri
Orionintie,Suur-Matinkylä
Ulvilantie,Läntinen suurpiiri
Olarinluoma,Suur-Matinkylä
Ratsutori,Suur-Leppävaara
Heikkiläntie,Eteläinen suurpiiri
Toinen linja,Keskinen suurpiiri
Tilkantori,Läntinen suurpiiri
Paciuksenkaari,Läntinen suurpiiri
Voikukantie,Itäinen suurpiiri
"Aalto-yliopisto (M), Tietotie",Suur-Tapiola
Aulangontie,Koillinen suurpiiri
Merihaka,Keskinen suurpiiri
Huopalahden asema,Läntinen suurpiiri
Tenholantie,Läntinen suurpiiri
Kirjurinkuja,Suur-Leppävaara
Thalianaukio,Keskinen suurpiiri
Haukilahdensolmu,Suur-Tapiola
Etuniementie,Suur-Matinkylä
Humalniementie,Kaakkoinen suurpiiri
Tiistinkallio,Suur-Matinkylä
Heikkilänaukio,Eteläinen suurpiiri
Maunula,Pohjoinen suurpiiri
Säterinrinne,Suur-Leppävaara
Marjaniemi,Itäinen suurpiiri
Pitäjänmäen asema,Läntinen suurpiiri
Itäkeskus Metrovarikko,Itäinen suurpiiri
Radiokatu,Keskinen suurpiiri
Westendinasema,Suur-Tapiola
Valimon asema,Läntinen suurpiiri
Kriikunakuja,Läntinen suurpiiri
Laivalahden puistotie,Kaakkoinen suurpiiri
Teljäntie,Läntinen suurpiiri
Säterinniitty,Suur-Leppävaara
Tapionaukio,Suur-Tapiola
Peukaloisentie,Kaakkoinen suurpiiri
Senaatintori,Eteläinen suurpiiri
Herttoniemen kirkko,Kaakkoinen suurpiiri
Saunalahdentie,Läntinen suurpiiri
Haagan tori,Läntinen suurpiiri
Margareetankuja,Kaakkoinen suurpiiri
Painiitty,Suur-Leppävaara
Tuulimäki,Suur-Tapiola
Hernesaarenranta,Eteläinen suurpiiri
Länsiterminaali,Eteläinen suurpiiri
Rautatieläisenkatu,Keskinen suurpiiri
Herttoniemenranta,Kaakkoinen suurpiiri
Puotilan ostoskeskus,Itäinen suurpiiri
Melkonkuja,Eteläinen suurpiiri
Siilitie (M),Kaakkoinen suurpiiri
Otsolahti,Suur-Tapiola
Puotinharju,Itäinen suurpiiri
Otto Brandtin tie,Pohjoinen suurpiiri
Muotoilijankatu,Keskinen suurpiiri
Revontulentie,Suur-Tapiola
Rummunlyöjänkatu,Suur-Leppävaara
Läkkitori,Suur-Leppävaara
Itälahdenkatu,Eteläinen suurpiiri
Agnetankuja,Kaakkoinen suurpiiri
Vallilan varikko,Keskinen suurpiiri
Mankkaanaukio,Suur-Tapiola
Otaranta,Suur-Tapiola
Mamsellimyllynkatu,Itäinen suurpiiri
Uimastadion,Läntinen suurpiiri
Lystimäki,Suur-Matinkylä
Ida Aalbergin tie,Keskinen suurpiiri
Alakiventie,Itäinen suurpiiri
Mestarinkatu,Suur-Leppävaara
Louhentori,Suur-Tapiola
Viikin normaalikoulu,Koillinen suurpiiri
Majurinkulma,Suur-Leppävaara
Kaapelitehdas,Eteläinen suurpiiri
Yhdyskunnankuja,Suur-Leppävaara
Nokkala,Suur-Matinkylä
Matinkyläntie,Suur-Matinkylä
Ilmalan asema,Keskinen suurpiiri
Relanderinaukio,Kaakkoinen suurpiiri
Valimotie,Läntinen suurpiiri
Huovitie,Keskinen suurpiiri
Sepetlahdentie,Suur-Matinkylä
Muurarinkuja,Suur-Leppävaara
Siilitie 13,Kaakkoinen suurpiiri
Siltavoudintie,Pohjoinen suurpiiri
Haakoninlahdenkatu,Kaakkoinen suurpiiri
Orpaanporras,Itäinen suurpiiri
Itäportti,Suur-Matinkylä
Komentajankatu,Suur-Leppävaara
Siilitie 9,Kaakkoinen suurpiiri
Marttila,Läntinen suurpiiri
Nuottaniementie,Suur-Matinkylä
Koskelan varikko,Keskinen suurpiiri
Tupasaarentie,Kaakkoinen suurpiiri
Takomotie,Läntinen suurpiiri
Eränkävijäntori,Kaakkoinen suurpiiri
Mäntyviita,Suur-Tapiola
Roihupelto,Kaakkoinen suurpiiri
Asentajanpuisto,Kaakkoinen suurpiiri
Vesakkotie,Pohjoinen suurpiiri
Lukutori,Suur-Matinkylä
Leppävaaran urheilupuisto,Suur-Leppävaara
Leppävaaran uimahalli,Suur-Leppävaara
Upseerinkatu,Suur-Leppävaara
Tontunmäentie,Suur-Matinkylä
Tiistiläntie,Suur-Matinkylä
Ruomelantie,Suur-Matinkylä
Katariina Saksilaisen katu,Keskinen suurpiiri
Puotinkylän kartano,Itäinen suurpiiri
Gransinmäki,Suur-Leppävaara
Hauenkallio,Suur-Tapiola
Prinsessantie,Kaakkoinen suurpiiri
Ruutikatu,Suur-Leppävaara
Tapiolan urheilupuisto,Suur-Matinkylä
Kirkkoherrantie,Pohjoinen suurpiiri
Von Daehnin katu,Koillinen suurpiiri
Postipuun koulu,Suur-Leppävaara
Mäkkylän asema,Läntinen suurpiiri
Lumivaarantie,Suur-Tapiola
Derby Business Park,Suur-Leppävaara
Hagalundinpuisto,Suur-Tapiola
Linnakepolku,Suur-Tapiola
Avaruuskatu,Suur-Matinkylä
Friisilänaukio,Suur-Matinkylä
